ID,name,ccaa,province,start,midpoint,trailrank,distance,gradient,min_alt,max_alt,municipality,mountain_passes_ids,municipalities_ids
1147,Astorga-Cruz de Ferro-Ponderrada-Morredero-Portillinos-Llano de Ovejas-Truchas-Castrocontrigo,,,"[-6.055069,42.451794]","[-6.514539,42.448898]",43,176,2546,521,1949,,"[6, 32, 80]",
7021,Sierra Espuña (Subida al Pico) IBP 164 - Goñar - 11-8-2011,,,"[-1.873901,37.492565]","[-1.539463,37.861992]",49,157,1668,191,1547,,[33],
9332,Medina de Pomar -Lunada- Base militar-Estacas de Trueba,,,"[-3.507419,42.934142]","[-3.642084,43.180695]",23,98,1442,576,1576,,"[34, 58]",
8602,PORTAINÉ(1.979m) desde Sort(LLeida),,,"[1.129994,42.406152]","[1.218896,42.44346]",39,50,1310,663,1921,,[35],
2043,Castellfollit de la Roca-Olot-Santa Pau-Banyoles-Mare de Déu del Mont-Beuda-Argelaguer,,,"[2.552548,42.221508]","[2.287544,42.404749]",74,111,1922,266,2142,,[36],
4222,La Serranita I. Cortijos-Yelmo-Despiernacaballos-La Cumbre-Final Yelmo,,,"[-2.725869,38.247247]","[-2.637466,38.110885]",64,129,3509,721,1778,,[37],
2513,CRT - (120 Km - IBP 120 - Cihuri - Hervias - Najera - Hornos - Antenas Moncalvillo - Entrena - Fuenmayor - N232 - Casala),,,"[-2.923907,42.566479]","[-2.612488,42.343689]",33,119,1683,429,1496,,[38],
2678,DENIA-vALL DEL EBO- MISERAT,,,"[0.099287,38.848482]","[-0.15812,38.807663]",63,72,1023,0,745,,"[39, 228, 307, 1092]",
4034,"Lagunas de Neila, Viniegras, Montenegro, Santa Inés",,,"[-2.763541,41.925845]","[-2.986523,42.128177]",56,134,2324,822,1864,,"[41, 89, 176]",
1560,BHC48. II Clásica Cicloturista Puertos de Somiedo 2015,,,"[-6.2549,43.092808]","[-6.122492,43.15669]",47,117,3843,454,1713,,"[28, 42, 90, 430]",
999,ARAS DE LOS OLMOS- OBSERVATORIO ASTROFISICO JAVALAMBRE (FIN 5ªETAPA VUELTA ESPAÑA 2019),,,"[-1.136961,39.924963]","[-1.040517,40.027504]",39,69,1593,941,1957,,[43],
1294,Barco de Avila- La Covatilla- Tremedal- Cabezas Altas,,,"[-5.521342,40.358339]","[-5.63518,40.385505]",49,84,2008,1006,1956,,[44],
3447,"Granada, El Purche, Pinillos, Guejar, Hazallanas, Dornajo, Granada. 2017-04-06",,,"[-3.590859,37.168644]","[-3.467228,37.163141]",91,72,1984,668,1686,,"[45, 72, 1006]",
2774,EIBAR-AZKARATE-LASTUR-MUTRIKU-ARRATE,,,"[-2.462779,43.186947]","[-2.383,43.294933]",62,68,1541,13,679,,"[46, 281, 449, 1003]",
382,[88 km / 2238 mt +] Algodonales Las Palomas El Boyar Grazalema Montecorto Gastor (2016-10-09),,,"[-5.413201,36.875963]","[-5.329667,36.800362]",64,88,2122,292,1174,,"[47, 119]",
6687,Santa Maria de Besora-Torelló-Coll de Bracons-Joanetes-Collfred-Vidrà,,,"[2.256315,42.127082]","[2.439988,42.130716]",70,74,1858,495,1305,,"[49, 101]",
5537,"Piedras Luengas, San Glorio y vuelta por Guardo",,,"[-4.498618,42.865809]","[-4.724851,43.084869]",42,167,2118,331,1586,,"[50, 87]",
802,Alto de Palo (CUBILLA); PAÍS LEONÉS- ASTURÍAS,,,"[-5.659714,42.941243]","[-5.913533,43.007108]",44,112,1948,362,1611,,"[51, 69, 689]",
7231,"Subiendo al Mondúber con la bici de carretera, un nuevo camino para ir a Barx y disfrutando de la París-Roubaix valenciana",,,"[-0.38679,39.44611]","[-0.33532,39.04384]",51,122,1187,0,832,,"[52, 424, 447, 1066]",
4504,"machucos,lunada,la sia",,,"[-3.467357,43.255492]","[-3.655925,43.171362]",48,99,3056,58,1333,,"[53, 58, 61, 285]",
2516,CRT - ( 152 Km - IBP 173 - Bilbao - Espinosa de Los Monteros - PICÓN BLANCO - Zorroza ),,,"[-2.971636,43.271806]","[-3.542082,43.129643]",38,152,2139,12,1514,,"[54, 314]",
3499,"Granada, Torvizcón, Trevelez, Lanjarón, Granada - 18-8-2012",,,"[-3.59689,37.182318]","[-3.305722,36.906417]",80,190,2931,316,1526,,[55],
5226,Onda - Mas de la Costa - Remolcador - castillo- Argelita,,,"[-0.263892,39.968887]","[-0.294328,40.16032]",38,99,3399,139,980,,"[56, 773]",
4347,lierganes - portillo de lunada - portillo de la sia - collado de ason - alto de alisas - lierganes,,,"[-3.743744,43.345545]","[-3.578737,43.125442]",69,95,2240,35,1234,,"[58, 61, 285]",
261,20160605 - Marabio,,,"[-5.84859,43.358145]","[-6.13914,43.239102]",42,106,1533,61,1063,,"[60, 476]",
2294,Circular puertos Alisas-Ason-La Sia-Lunada,,,"[-3.743755,43.344127]","[-3.571267,43.153164]",62,96,2372,49,1313,,"[58, 61, 285]",
6267,"Ruta Alto Campo , Fuente Chivo y embalse del Ebro 6/09/14",,,"[-3.848887,42.972988]","[-4.319016,43.012913]",37,135,2098,827,1995,,[62],
8410,Circular El Torcal,,,"[-4.459712,36.720072]","[-4.520297,36.967194]",50,119,2569,53,1212,,"[63, 455]",
1802,Calar Ato (Sierra de Los Filábres) 2017,,,"[-2.53222,37.113908]","[-2.445343,37.265162]",77,113,3057,697,2160,,"[10, 29, 64, 77]",
2527,"Cruz de la Demanda , Bonicaparra y Valdezcaray 20 09 14",,,"[-3.009449,42.327301]","[-3.019216,42.30764]",56,100,2700,808,1860,,[65],
7069,Solsona-Cambrils-Coll de Jou-Port del Compte-Sant Llorenç-Solsona,,,"[1.513592,41.993315]","[1.44526,42.138616]",62,98,1827,603,1639,,[66],
8392,cuchillos jamoneros (como cortar los jamones que algunos tienen por patas como si fueran mantequilla),,,"[-5.14233,43.27333]","[-5.17584,43.19447]",53,97,5165,138,1063,,"[68, 422]",
2446,Comarca de LA TERCIA y de GORDÓN,,,"[-5.635786,42.821149]","[-5.737722,42.989377]",49,147,2491,970,1532,,"[69, 813, 843, 866, 937, 1062]",
3858,Jerica - Montanejos - Villahermosa Rio - Puertomingalvo - Valdelinares - V. Vega - Mora Rubielos - Rubielos d Mora - Barracas,,,"[-0.568674,39.912022]","[-0.5588,40.33036]",60,188,3769,429,1930,,"[71, 1115]",
5941,"Purche, Haza Llanas, Hoya de la Mora - IBP 195 - 5-6-2012 - Granada",,,"[-3.597002,37.182328]","[-3.427118,37.143037]",75,98,2804,670,2518,,"[45, 72, 427]",
8585,Bezana-La Estranguada por Esles,,,"[-3.907583,43.433932]","[-3.758438,43.267017]",39,89,1489,5,681,,[73],
8419,Mojacar Playa cabrera Mojácar playa,,,"[-1.837555,37.118428]","[-1.940743,37.087629]",49,52,1582,0,953,,[74],
2930,Elosumendi-Gorla-Irimo-Agiñeta-Oleta-Samiño,,,"[-2.308286,43.180093]","[-2.338441,43.099689]",33,48,1744,97,926,,"[75, 707]",
7695,Valdería-Caballeda-Sanabria-Cabrera: Castrocontrigo-Palacios-Puebla-Puente-Alto Peñón-Truchas-Castrocontrigo (León-Zamora),,,"[-6.190074,42.183424]","[-6.606892,42.122133]",46,118,1751,921,1846,,[76],
713,ALMERÍA. SIERRA DE LOS FILABRES. Los Grandes Puertos/ Calar Alto- Alto de Velefique- Tetica de Bacares,,,"[-2.439974,37.345602]","[-2.45027,37.182362]",61,133,3831,671,2163,,"[10, 15, 29, 64, 77]",
3987,La Cruz de Linares.,,,"[-5.68585,43.300432]","[-6.035405,43.263901]",24,99,1780,77,839,,"[78, 1071]",
8120,Vuelta al Teleno. Et. 3. Ponferrada-La Bañeza. 7-AGO-14,,,"[-6.596166,42.547836]","[-6.309092,42.486199]",52,93,1369,490,1497,,[80],
9678,Mengíbar - Cerro San Cristobal - Mengibar,,,"[-3.808412,37.969913]","[-3.704567,37.737549]",16,81,1235,254,986,,[81],
5906,"Puertos de Cantabria (02): Peña Cabarga, Alisas y mas!!",,,"[-3.681664,43.377604]","[-3.64828,43.29561]",44,85,2228,7,695,,"[82, 1034]",
8064,Volta al Cadí 2019,,,"[1.880356,42.231843]","[1.646412,42.369966]",58,177,3471,697,1931,,"[83, 260]",
4154,La Pola-Alto Cobertoria-Quiros-Pto Ventana-San Emiliano. Pto Aralla-Pola Gordon-Pto Pajares-Pola Lena,,,"[-5.829135,43.166285]","[-6.014051,43.036417]",43,164,4360,265,1577,,"[69, 84, 430, 689, 866]",
7006,Sierra de los Vientos,,,"[-6.188615,43.559837]","[-6.199675,43.466358]",39,59,2042,42,781,,[85],
4546,MALAGA-RINCON...-TORRE DEL MAR-ZAFARRAYA-ALFARNATE-COLMENAR-PUERTO DEL LEON-MLG,,,"[-4.421879,36.721093]","[-4.224329,37.010675]",80,135,2126,0,1113,,"[86, 198]",
5708,Potes -Piedrasluengas - Pejanda - Pesaguero - Potes,,,"[-4.625935,43.154997]","[-4.455935,43.084523]",49,81,1470,262,1354,,[87],
8108,Vuelta al Montseny y Turó de l'Home: St Celoni-Santa Fe-Viladrau-Seva-Collformic-La Costa del Montseny-Turó l'Home-Sta Fe-SC,,,"[2.478105,41.69525]","[2.341127,41.808342]",55,116,2920,176,1601,,"[18, 88, 130, 450]",
4032,"Lagunas de Neila, Collado de Vilviestre",,,"[-3.290462,42.024261]","[-3.028209,42.059143]",47,119,1907,872,1870,,"[41, 89]",
2603,Cycling Babias-Ubiñas-Somiedo,,,"[-6.000381,42.971476]","[-6.219268,43.152716]",49,101,2349,482,1587,,"[28, 90, 430]",
7023,SIERRA HELADA. Mutxamel- El Campello- La Vila Joiosa- Benidorm- Serra Gelada,,,"[-0.473053,38.445021]","[-0.068033,38.551717]",45,94,1567,5,426,,[91],
8487,Circular a los Picos de Europa desde Panes,,,"[-4.586508,43.326811]","[-4.971202,43.129924]",42,203,6806,19,1603,,"[50, 93, 245, 838]",
6574,"San Cristóbal, Tres vertientes de Cuarto Pelao y Tarrascón de Peñacerrada.",,,"[-0.54549,40.661761]","[-0.398374,40.524139]",45,125,3139,857,1824,,"[94, 190, 519]",
7507,"Tres Altos en la Sierra del Segura: Boche, Borriqueta y Puente de la Vicaría. 1-MAY-16",,,"[-2.182406,38.423365]","[-2.348515,38.296985]",62,89,1704,614,1376,,[95],
432,"A CORUÑA-4 PICOS DO BARBANZA (SAN LOIS, ENXA, CUROTA E IROITE)",,,"[-8.894956,42.778232]","[-8.989603,42.598153]",49,102,2498,7,658,,"[96, 196]",
2049,Castellón-Desierto de las Palmas- Subida a Bartolo- Desierto- Castellón,,,"[-0.042389,39.987635]","[0.021085,40.076935]",43,32,694,12,697,,"[97, 950]",
8628,.,,,"[-2.311131,37.081795]","[-2.266786,37.021507]",38,18,1058,488,1377,,[98],
680,Alicante - Xorret de Catí - Alicante,,,"[-0.484216,38.34589]","[-0.661928,38.555121]",51,80,1404,7,1058,,[99],
3627,Hervás- Puerto de Honduras- Piornal- Jaraiz- Garganta La Olla- Piornal- Puerto de Honduras- Hervás,,,"[-5.863033,40.272019]","[-5.772493,40.095388]",55,159,3517,423,1429,,"[100, 212]",
7859,Vic-Roda de Ter-Manlleu-Camí de la Casa de l'Hora-Coll de Bracons-Joanetes-Coll de Condreu-Coll del Bac-Cantonigròs,,,"[2.264136,41.93042]","[2.445875,42.106573]",74,100,1696,438,1126,,[101],
7903,Vilagarcía-Xiabre-Armenteira-Vilagarcía,,,"[-8.759026,42.593221]","[-8.763814,42.507353]",39,96,1598,0,632,,[102],
5402,"Parque Natural Somiedo, PN Cangas de Narcea; Cerredo - degaña - cangas de narcea - puerto de leitarrejos - caboalles de abajo",,,"[-6.490888,42.946192]","[-6.450696,43.055686]",51,100,1645,263,1431,,[104],
7266,Tamajon - Valverdede los Arroyos - Alto Rey - Cogolludo - Tamajon,,,"[-3.247932,40.998457]","[-3.087258,41.152951]",81,117,2343,840,1803,,[105],
4369,Llanos del Hospital + Cerler-Ampriu,,,"[0.52414,42.607185]","[0.534162,42.611115]",42,54,1552,1128,1885,,[106],
2933,El palo-olias-colmenar-pto-leon-el Palo,,,"[-4.348671,36.722022]","[-4.275375,36.867473]",43,76,2205,3,956,,"[86, 108, 109, 649]",
5035,"Málaga, Vélez-Málaga, Benamargosa, Comares, Santopitar, Puerto del León, Málaga.",,,"[-4.415773,36.729704]","[-4.201723,36.835823]",52,95,2101,0,941,,"[86, 109, 649]",
5601,"Pobla de Segur, Gerri de la Sal, Montcortés, pobleta de Bellveí, Cabdellà, estany Sallente, Pobla de Segur",,,"[0.986087,42.259372]","[0.990315,42.46659]",44,92,1787,500,1775,,[110],
460,Aguilar de Campoo - refugio del Golobar 1780 m - Reinosa - Aguilar 24 07 16,,,"[-4.302887,42.787959]","[-4.238853,43.00763]",39,113,1703,855,1767,,[111],
528,Alcora - Villahermosa del Rio - Puertomingalvo - Vistabella - Atzaneta - Alcora - Sagunto - Benimamet,,,"[-0.207478,40.079379]","[-0.279037,40.294858]",74,210,3280,8,1441,,"[112, 631, 773]",
9275,Torrox Costa La Miel,,,"[-3.951097,36.730064]","[-3.775476,36.794588]",25,49,1727,50,785,,[113],
2653,Del Valle del Tietar a las Cumbres de Gredos: Pedro Bernardo-Serranillos-Mijares-Presa de Piedralaves,,,"[-4.694755,40.317474]","[-4.794651,40.403873]",49,127,2720,432,1575,,"[114, 665]",
3787,Isaba-Larrau-Saint Engraci-Pierre Saint Martin-Isaba,,,"[-0.920848,42.863873]","[-0.853817,43.012566]",67,99,2896,290,1758,,"[115, 163]",
5056,Navacerrada Sur- Navapelegrin- Navacerrada Norte,,,"[-4.018694,40.694362]","[-3.979519,40.872376]",42,70,2064,1013,1820,,"[116, 157]",
6070,"Riaza - Majaelrayo - Riaza , las 2 caras de La Quesera",,,"[-3.481436,41.276097]","[-3.305526,41.110229]",62,82,1779,1151,1754,,"[117, 118, 498]",
8364,Titán de Tamajón,,,"[-3.248938,41.002839]","[-3.329157,41.314094]",61,156,4469,943,1740,,"[117, 118, 498]",
352,[75 km / 1960 mt +] Zahara Las Palomas El Bosque El Boyar Embalse Zahara (2017-09-05),,,"[-5.394815,36.844769]","[-5.473768,36.766795]",62,74,2048,260,1170,,"[47, 119]",
8859,Huesca - Arguis - PICO DEL AGUILA - Nueno - SALTO DE ROLDAN - Nueno - Huesca,,,"[-0.416222,42.14416]","[-0.402673,42.304896]",34,83,2038,440,1602,,[120],
1282,Barakaldo - Urkiola - Dima - Barakaldo,,,"[-3.007159,43.292937]","[-2.645732,43.10406]",37,112,937,2,738,,"[121, 317, 414, 757]",
9137,Camponaraya,,,"[-6.670533,42.5769]","[-6.546559,42.434378]",29,61,932,484,1077,,[122],
1526,Bermiego / Teixu - Arrojo Albergue,,,"[-5.984329,43.201264]","[-5.980928,43.194965]",23,6,73,420,828,,[123],
3927,La Cabra por Almuñecar - 8-11-2012 - Granada,,,"[-3.60206,37.18306]","[-3.689408,36.757152]",95,159,2296,9,1356,,[124],
7636,Usurbil-Jaizkibel-Erlaitz-Hendaia-Sokoa.,,,"[-2.051858,43.272737]","[-1.847495,43.305639]",45,105,2126,2,722,,"[125, 202, 235, 257, 516]",
8200,X Ruta Cicloturista Extremadura en Bici,,,"[-6.657199,40.070039]","[-6.115679,40.488205]",48,428,7089,257,1691,,"[100, 127, 166, 605, 855]",
2225,"Ciclofactoría, Zaragoza - Santuario Moncayo - Pico Moncayo",,,"[-0.89192,41.642053]","[-1.397663,41.763945]",35,132,1896,202,1865,,[128],
8331,Quebrantahuesos 2013,,,"[-0.357282,42.505248]","[-0.425293,43.042813]",82,196,3569,327,1779,,"[129, 195]",
6723,"Sant Celoni, Collformic, Seva, Viladrau, Santa Fe del Montseny, Turo de l'home, Campins, Sant Celoni",,,"[2.480206,41.684121]","[2.411562,41.813729]",53,103,2432,168,1670,,"[18, 88, 130, 450]",
4115,l`Angliru..... y de Aperitivo y Postre El Cordal,,,"[-5.828918,43.166513]","[-5.935999,43.227801]",64,53,2242,299,1575,,"[0, 131]",
1092,Arredondo-Alto del Asón-Portillo de la Sía-Espinosa de los Monteros-Los Tornos-Ramales de la Victoria-Arredondo,,,"[-3.598504,43.271221]","[-3.501214,43.081809]",52,82,1485,103,1270,,"[61, 132, 285]",
4584,Marbella-Monda-Guaro-Yunquera-El Burgo-Ronda-San Pedro-Marbella,,,"[-4.881283,36.524354]","[-4.99606,36.790046]",44,139,2504,28,1126,,"[133, 569, 688, 700]",
1787,Cadalso de los Vidrios - El Piélago - Mijares - Sotillo,,,"[-4.444208,40.301923]","[-4.748749,40.243909]",41,120,1904,445,1234,,"[134, 585]",
1915,Cangas de Onís Arriondas-El Fito-Playa Espasa-Caravia-Berbes-Ribadesella-Fries-Arriondas-Cangas de Onis,,,"[-5.128218,43.351]","[-5.171306,43.471016]",71,69,1056,0,590,,[135],
5494,Peña Negra y Chia,,,"[-5.322004,40.465496]","[-5.239472,40.359309]",77,74,1688,1030,1922,,"[136, 224]",
3219,FUENTE DEL CHIVO (1992 m) desde Reinosa + pto. de PALOMBERA a la vuelta. 18-6-19,,,"[-4.140535,42.994693]","[-4.29363,43.006097]",49,115,1729,28,1990,,[137],
3289,"Garai,Oiz,Trakua,Andikona,Sarria,Garai",,,"[-2.612081,43.194524]","[-2.599138,43.228763]",24,27,999,172,1019,,"[12, 138, 328, 362, 417, 1096, 1110]",
5115,Nogal del Barranco-La Centenera-El Pico,,,"[-5.084594,40.210672]","[-5.087973,40.271355]",44,65,1842,512,1392,,"[139, 165, 633]",
5938,"Purche, Beas, Pto.Lobo, Alfacar, Pto. Alfaguara - IBP 142 - Granada - 8-9-2011",,,"[-3.596702,37.182339]","[-3.468826,37.211933]",48,82,1810,676,1465,,"[72, 140, 714]",
7106,Sort - Tavascan - Refugi de la Pleta del Prat de Tavascan- Tavascan -Sort,,,"[1.133396,42.422155]","[1.251192,42.651637]",28,86,1159,704,1716,,[141],
3290,Garate sta.luzia Malkuartu /itzulia 2020,,,"[-2.946224,43.266147]","[-2.967173,43.163262]",19,70,916,1,468,,[142],
5904,Puertos de Bizkaia 01: Orduña,,,"[-3.040122,43.075702]","[-3.029223,42.950267]",42,51,1475,206,908,,[143],
6034,Repetidores de estepa,,,"[-4.845347,37.553989]","[-4.878402,37.280766]",29,79,1286,132,841,,[144],
825,Altos de la Colladiella y Colladona.,,,"[-5.685197,43.166909]","[-5.618139,43.25735]",54,66,1223,237,847,,"[145, 463, 545, 719]",
7748,VALL D´ALBAIDA I LA COSTERA. Biar-Camp de Mirra-Beneixama-Fontanars dels Alforins-Moixent-Ontinyent-Bocairent-Banyeres d,,,"[-0.761482,38.629109]","[-0.723432,38.861487]",54,102,1453,325,988,,"[146, 918]",
1315,Barruera - Estació esquí Boí Taüll - Presa Cavallers - Aigües Tortes,,,"[0.800887,42.503654]","[0.847683,42.57188]",50,69,1936,1098,2048,,"[147, 265, 269]",
4574,Manzanares - Miraflores - Pto. La Morcuera - Rascafría - Pto. Cotos - Cerceda - Manzanares,,,"[-3.86053,40.728269]","[-3.88189,40.876911]",79,87,1616,897,1848,,"[148, 157, 229]",
3508,GRAN FONDO ÉZARO.2015,,,"[-9.124665,42.911871]","[-9.103771,43.027664]",45,98,1754,60,575,,"[149, 537]",
943,Aniz Irurita Elizondo Bagordi Otsondo Aniz,,,"[-1.581152,43.111863]","[-1.552589,43.21773]",29,56,1251,182,675,,"[150, 396]",
3128,Estepona- Pto de Peñas Blancas-Algatocin-Gaucin-Casares-Estepona,,,"[-5.17067,36.431649]","[-5.214243,36.563985]",51,100,3111,36,1283,,"[151, 171, 488]",
231,2015/01/02 - Beintza Labaien-Alto de Aniz-Puerto de Artesiaga-Puerto de Egozkue-Alto de Orokieta,,,"[-1.740441,43.086431]","[-1.515694,43.011675]",46,112,1933,0,777,,"[152, 396, 916]",
5619,Pola de Somiedo - Valle de Lago,,,"[-6.25424,43.092581]","[-6.191071,43.069046]",36,20,615,624,1239,,[153],
9153,Subida a Cotorredondo (Lago Castiñeiras por Pontevedra),,,"[-8.634007,42.435205]","[-8.669393,42.367977]",28,33,825,0,525,,[155],
8339,La Perico Tú tiiira!!!,,,"[-4.111566,40.935528]","[-3.764731,40.827549]",73,160,3111,1018,1858,,"[148, 157, 217, 229, 309]",
4425,Los 6 puertos,,,"[-3.553741,43.079082]","[-3.667416,43.169903]",44,145,3445,181,1275,,"[58, 61, 132, 158, 278, 285, 522]",
398,[93 km / 1946 mt +] Zarzalejo Peguerinos Alto Abantos Navas Marqués Valdemaqueda Robledo de Chavela Fresnedillas (2018-08-04),,,"[-4.158632,40.53946]","[-4.222496,40.637589]",62,93,1968,823,1631,,"[159, 1019]",
7,07: Ponferrada a Portomarín,,,"[-6.598546,42.551448]","[-7.108343,42.706263]",37,122,2026,394,1342,,"[160, 321, 452]",
3738,"II Reto Barbaro , Pitres - 14-07-2012 - Granada",,,"[-3.32666,36.935477]","[-3.340305,36.964432]",60,27,1492,1234,2683,,[161],
2809,(El Bierzo)-Ponferrada-La Cabrera-El Morredero,,,"[-6.608052,42.545959]","[-6.537501,42.335472]",42,132,2598,291,1860,,"[6, 32, 162]",
4186,Larra-Larrau 2.016. Recorrido largo.,,,"[-0.92805,42.85789]","[-0.795847,43.031802]",56,144,4335,290,1774,,"[115, 163]",
2784,El Albaicín/Cumbres Verdes/Rio Dilar,,,"[-3.618807,37.212203]","[-3.515474,37.072973]",30,61,910,654,1393,,[164],
4721,Mijares-PedroBernardo-Pico-Nogal del Barranco-Mingo Fernando-Centenera-Serranillos-La Mesa,,,"[-4.78685,40.410956]","[-5.151697,40.2254]",39,236,5761,433,1667,,"[114, 139, 165, 576, 591, 633, 665]",
2841,El Casarito - El Maíllo - Monsagro - Peña de Francia - (Circular).,,,"[-6.138633,40.526734]","[-6.260858,40.509275]",55,52,1011,955,1685,,"[166, 605]",
8226,ZAMORA (27.06.2015) Hermisende con Ladiairo-Marabón y Padornelo por Lubián,,,"[-6.893989,41.968865]","[-6.838269,42.046863]",29,91,2025,796,1702,,"[167, 963]",
8480,"Cruz de la Demanda, Valdezcaray y Alto de Pradilla",,,"[-3.013452,42.328228]","[-3.025075,42.29236]",43,101,2634,804,1820,,"[65, 169]",
4541,Malaga - Cortes de La Frontera,,,"[-4.464692,36.706843]","[-4.992644,36.787118]",49,141,2825,20,1063,,"[171, 426, 488, 688, 700]",
